PdfType: central
Format: lhagrid1
---
-6.33314E-17 3.82181E-18 1.90250E-01 2.15989E-01 2.53130E-01 2.15970E-01 2.21111E-01 1.90250E-01 3.82181E-18 -6.33314E-17 1.39900E-01
9.25664E-17 7.65447E-17 2.42500E-01 2.68738E-01 3.07030E-01 2.68770E-01 2.74261E-01 2.42500E-01 7.65447E-17 9.25664E-17 2.55100E-01
-1.68848E-17 2.49250E-01 3.90950E-01 4.18530E-01 4.59750E-01 4.18550E-01 4.25270E-01 3.90950E-01 2.49250E-01 -1.68848E-17 5.73500E-01
-9.83117E-17 3.88550E-01 5.25500E-01 5.54033E-01 5.97865E-01 5.54135E-01 5.61967E-01 5.25500E-01 3.88550E-01 -9.83117E-17 8.51000E-01
1.23694E-16 5.22000E-01 6.55000E-01 6.84421E-01 7.30560E-01 6.84440E-01 6.93579E-01 6.55000E-01 5.22000E-01 1.23694E-16 1.10800E+00
1.13841E-17 6.42000E-01 7.71000E-01 8.01335E-01 8.49635E-01 8.01365E-01 8.11665E-01 7.71000E-01 6.42000E-01 1.13841E-17 1.33000E+00
1.21431E-17 7.44500E-01 8.71000E-01 9.01310E-01 9.51555E-01 9.01445E-01 9.12690E-01 8.71000E-01 7.44500E-01 1.21431E-17 1.51500E+00
1.79950E+00 8.66000E-01 9.88500E-01 1.02015E+00 1.07216E+00 1.01985E+00 1.03285E+00 9.88500E-01 8.66000E-01 1.79950E+00 1.72900E+00
1.88700E+00 9.70000E-01 1.08950E+00 1.12156E+00 1.17562E+00 1.12138E+00 1.13545E+00 1.08950E+00 9.70000E-01 1.88700E+00 1.90700E+00
1.96850E+00 1.06700E+00 1.18400E+00 1.21597E+00 1.27203E+00 1.21596E+00 1.23103E+00 1.18400E+00 1.06700E+00 1.96850E+00 2.06700E+00
2.04100E+00 1.15300E+00 1.26750E+00 1.29993E+00 1.35787E+00 1.30014E+00 1.31607E+00 1.26750E+00 1.15300E+00 2.04100E+00 2.20300E+00
2.12850E+00 1.25800E+00 1.36900E+00 1.40223E+00 1.46191E+00 1.40210E+00 1.41977E+00 1.36900E+00 1.25800E+00 2.12850E+00 2.36100E+00
2.20700E+00 1.35200E+00 1.46000E+00 1.49357E+00 1.55537E+00 1.49363E+00 1.51243E+00 1.46000E+00 1.35200E+00 2.20700E+00 2.49700E+00
2.28050E+00 1.44050E+00 1.54600E+00 1.57991E+00 1.64381E+00 1.58019E+00 1.60010E+00 1.54600E+00 1.44050E+00 2.28050E+00 2.61800E+00
2.34150E+00 1.51550E+00 1.61850E+00 1.65282E+00 1.71813E+00 1.65287E+00 1.67418E+00 1.61850E+00 1.51550E+00 2.34150E+00 2.71500E+00
2.40200E+00 1.58950E+00 1.69000E+00 1.72471E+00 1.79147E+00 1.72453E+00 1.74730E+00 1.69000E+00 1.58950E+00 2.40200E+00 2.80600E+00
2.45600E+00 1.65600E+00 1.75450E+00 1.78913E+00 1.85776E+00 1.78925E+00 1.81288E+00 1.75450E+00 1.65600E+00 2.45600E+00 2.88400E+00
2.50700E+00 1.71900E+00 1.81550E+00 1.85055E+00 1.92053E+00 1.85048E+00 1.87546E+00 1.81550E+00 1.71900E+00 2.50700E+00 2.95300E+00
2.54950E+00 1.77250E+00 1.86700E+00 1.90203E+00 1.97320E+00 1.90180E+00 1.92797E+00 1.86700E+00 1.77250E+00 2.54950E+00 3.00800E+00
2.59150E+00 1.82550E+00 1.91800E+00 1.95349E+00 2.02590E+00 1.95311E+00 1.98051E+00 1.91800E+00 1.82550E+00 2.59150E+00 3.06000E+00
2.62850E+00 1.87350E+00 1.96400E+00 1.99948E+00 2.07354E+00 1.99945E+00 2.02751E+00 1.96400E+00 1.87350E+00 2.62850E+00 3.10300E+00
2.66400E+00 1.91900E+00 2.00800E+00 2.04348E+00 2.11869E+00 2.04331E+00 2.07252E+00 2.00800E+00 1.91900E+00 2.66400E+00 3.14100E+00
2.70448E+00 1.97351E+00 2.05935E+00 2.09489E+00 2.17354E+00 2.09667E+00 2.12515E+00 2.05935E+00 1.97351E+00 2.70448E+00 3.18854E+00
-5.06817E-17 2.32729E-17 1.69600E-01 2.02666E-01 2.42155E-01 2.02645E-01 2.01734E-01 1.69600E-01 2.32729E-17 -5.06817E-17 2.73300E-03
-3.01815E-17 2.38524E-17 2.28400E-01 2.62122E-01 3.03805E-01 2.62095E-01 2.62478E-01 2.28400E-01 2.38524E-17 -3.01815E-17 1.38000E-01
6.56874E-17 2.08167E-17 2.76550E-01 3.10748E-01 3.54170E-01 3.10730E-01 3.12152E-01 2.76550E-01 2.08167E-17 6.56874E-17 2.46700E-01
-3.48266E-17 2.90950E-01 4.08500E-01 4.43757E-01 4.91730E-01 4.43770E-01 4.48043E-01 4.08500E-01 2.90950E-01 -3.48266E-17 5.36200E-01
-2.49366E-17 4.10850E-01 5.23500E-01 5.59576E-01 6.10880E-01 5.59120E-01 5.66424E-01 5.23500E-01 4.10850E-01 -2.49366E-17 7.77500E-01
3.24176E-17 5.22000E-01 6.30000E-01 6.66847E-01 7.22125E-01 6.66875E-01 6.76154E-01 6.30000E-01 5.22000E-01 3.24176E-17 9.92600E-01
9.62772E-17 6.19500E-01 7.23500E-01 7.60730E-01 8.19165E-01 7.60835E-01 7.72270E-01 7.23500E-01 6.19500E-01 9.62772E-17 1.17300E+00
