1.009800e-02  1.000000e+00  1.017663e+01  8.937061e+00 7.477919e+00  8.935101e+00 1.208976e+01  7.477919e+00
1.009800e-02  1.890000e+00  3.039131e+01  2.914161e+01 2.751640e+01  2.914354e+01 3.250493e+01  2.751640e+01
1.009800e-02  2.780000e+00  4.373777e+01  4.248412e+01 4.075981e+01  4.247741e+01 4.596891e+01  4.075981e+01
1.009800e-02  3.670000e+00  5.368825e+01  5.244435e+01 5.063625e+01  5.241498e+01 5.601356e+01  5.063625e+01
1.009800e-02  4.560000e+00  6.151723e+01  6.025370e+01 5.841063e+01  6.023223e+01 6.388694e+01  5.841063e+01
1.009800e-02  5.450000e+00  6.797280e+01  6.667844e+01 6.482315e+01  6.667728e+01 7.036321e+01  6.482315e+01
1.009800e-02  6.340000e+00  7.344968e+01  7.212916e+01 7.026351e+01  7.214523e+01 7.585765e+01  7.026351e+01
1.009800e-02  7.230000e+00  7.812911e+01  7.679927e+01 7.490913e+01  7.681547e+01 8.056432e+01  7.490913e+01
1.009800e-02  8.120000e+00  8.225937e+01  8.092220e+01 7.900936e+01  8.093751e+01 8.471946e+01  7.900936e+01
1.009800e-02  9.010000e+00  8.595963e+01  8.461589e+01 8.268272e+01  8.463040e+01 8.844201e+01  8.268272e+01
1.009800e-02  9.900000e+00  8.931104e+01  8.796136e+01 8.600977e+01  8.797514e+01 9.181362e+01  8.600977e+01
1.009800e-02  1.079000e+01  9.230247e+01  9.095777e+01 8.898645e+01  9.096014e+01 9.483285e+01  8.898645e+01
1.009800e-02  1.168000e+01  9.504800e+01  9.370914e+01 9.171931e+01  9.369970e+01 9.760511e+01  9.171931e+01
1.009800e-02  1.257000e+01  9.759181e+01  9.625837e+01 9.425138e+01  9.623799e+01 1.001737e+02  9.425138e+01
1.009800e-02  1.346000e+01  9.996153e+01  9.863314e+01 9.661016e+01  9.860256e+01 1.025665e+02  9.661016e+01
1.009800e-02  1.435000e+01  1.021795e+02  1.008558e+02 9.881787e+01  1.008157e+02 1.048060e+02  9.881787e+01
1.009800e-02  1.524000e+01  1.042473e+02  1.029242e+02 1.008748e+02  1.028789e+02 1.068901e+02  1.008748e+02
1.009800e-02  1.613000e+01  1.061539e+02  1.048212e+02 1.027680e+02  1.047809e+02 1.088017e+02  1.027680e+02
1.009800e-02  1.702000e+01  1.079581e+02  1.066164e+02 1.045595e+02  1.065807e+02 1.106106e+02  1.045595e+02
1.009800e-02  1.791000e+01  1.096703e+02  1.083200e+02 1.062596e+02  1.082887e+02 1.123272e+02  1.062596e+02
1.009800e-02  1.880000e+01  1.112994e+02  1.099410e+02 1.078773e+02  1.099139e+02 1.139606e+02  1.078773e+02
1.009800e-02  1.969000e+01  1.128532e+02  1.114869e+02 1.094201e+02  1.114640e+02 1.155185e+02  1.094201e+02
1.009800e-02  2.058000e+01  1.143383e+02  1.129646e+02 1.108948e+02  1.129455e+02 1.170074e+02  1.108948e+02
1.009800e-02  2.147000e+01  1.157605e+02  1.143796e+02 1.123069e+02  1.143642e+02 1.184333e+02  1.123069e+02
1.009800e-02  2.236000e+01  1.171249e+02  1.157372e+02 1.136618e+02  1.157253e+02 1.198013e+02  1.136618e+02
1.009800e-02  2.325000e+01  1.184361e+02  1.170418e+02 1.149637e+02  1.170333e+02 1.211158e+02  1.149637e+02
1.009800e-02  2.414000e+01  1.196980e+02  1.182974e+02 1.162167e+02  1.182922e+02 1.223810e+02  1.162167e+02
1.009800e-02  2.503000e+01  1.209125e+02  1.195059e+02 1.174228e+02  1.195037e+02 1.235988e+02  1.174228e+02
1.009800e-02  2.592000e+01  1.220374e+02  1.206286e+02 1.185423e+02  1.206255e+02 1.247301e+02  1.185423e+02
1.009800e-02  2.681000e+01  1.231242e+02  1.217135e+02 1.196241e+02  1.217095e+02 1.258232e+02  1.196241e+02
1.009800e-02  2.770000e+01  1.241755e+02  1.227628e+02 1.206706e+02  1.227580e+02 1.268805e+02  1.206706e+02
1.009800e-02  2.859000e+01  1.251936e+02  1.237790e+02 1.216839e+02  1.237734e+02 1.279044e+02  1.216839e+02
1.009800e-02  2.948000e+01  1.261805e+02  1.247641e+02 1.226662e+02  1.247576e+02 1.288970e+02  1.226662e+02
1.009800e-02  3.037000e+01  1.271380e+02  1.257198e+02 1.236193e+02  1.257126e+02 1.298600e+02  1.236193e+02
1.009800e-02  3.126000e+01  1.280679e+02  1.266480e+02 1.245448e+02  1.266399e+02 1.307952e+02  1.245448e+02
1.009800e-02  3.215000e+01  1.289716e+02  1.275500e+02 1.254444e+02  1.275413e+02 1.317041e+02  1.254444e+02
1.009800e-02  3.304000e+01  1.298507e+02  1.284275e+02 1.263194e+02  1.284180e+02 1.325882e+02  1.263194e+02
1.009800e-02  3.393000e+01  1.307064e+02  1.292816e+02 1.271711e+02  1.292714e+02 1.334488e+02  1.271711e+02
1.009800e-02  3.482000e+01  1.315400e+02  1.301136e+02 1.280008e+02  1.301027e+02 1.342871e+02  1.280008e+02
1.009800e-02  3.571000e+01  1.323525e+02  1.309246e+02 1.288095e+02  1.309131e+02 1.351043e+02  1.288095e+02
1.009800e-02  3.660000e+01  1.331450e+02  1.317157e+02 1.295984e+02  1.317035e+02 1.359014e+02  1.295984e+02
1.009800e-02  3.749000e+01  1.339184e+02  1.324877e+02 1.303682e+02  1.324749e+02 1.366793e+02  1.303682e+02
1.009800e-02  3.838000e+01  1.346738e+02  1.332416e+02 1.311200e+02  1.332282e+02 1.374389e+02  1.311200e+02
