0.0194 6.39 -3.26507E-4 3.33673E-4
0.0194 6.88 -3.26265E-4 3.32775E-4
0.0194 7.37 -3.26042E-4 3.31957E-4
0.0194 7.86 -3.25832E-4 3.31186E-4
0.0194 8.35 -3.25636E-4 3.30463E-4
0.0194 8.84 -3.2545E-4 3.2978E-4
0.0194 9.33 -3.25274E-4 3.2913E-4
0.0194 9.82 -3.25108E-4 3.2852E-4
0.0194 10.31 -3.24954E-4 3.27965E-4
0.0194 10.8 -3.24809E-4 3.27452E-4
0.0194 11.29 -3.2467E-4 3.2696E-4
0.0194 11.78 -3.24537E-4 3.26491E-4
0.0194 12.27 -3.2441E-4 3.2604E-4
0.0194 12.76 -3.24287E-4 3.25606E-4
0.0194 13.25 -3.24169E-4 3.25189E-4
0.0194 13.74 -3.24056E-4 3.24787E-4
0.0194 14.23 -3.23946E-4 3.24399E-4
0.0194 14.72 -3.23841E-4 3.24027E-4
0.0194 15.21 -3.2374E-4 3.23675E-4
0.0194 15.7 -3.23645E-4 3.23348E-4
0.0194 16.19 -3.23553E-4 3.23037E-4
0.0194 16.68 -3.23463E-4 3.22733E-4
0.0194 17.17 -3.23376E-4 3.22437E-4
0.0194 17.66 -3.23292E-4 3.2215E-4
0.0194 18.15 -3.2321E-4 3.21871E-4
0.0194 18.64 -3.2313E-4 3.21599E-4
0.0194 19.13 -3.23052E-4 3.21334E-4
0.0194 19.62 -3.22976E-4 3.21076E-4
0.0194 20.11 -3.22902E-4 3.20824E-4
0.0194 20.6 -3.2283E-4 3.20578E-4
0.0194 21.09 -3.2276E-4 3.20339E-4
0.0194 21.58 -3.22691E-4 3.20104E-4
0.0194 22.07 -3.22623E-4 3.19875E-4
0.0194 22.56 -3.22557E-4 3.19651E-4
0.0194 23.05 -3.22493E-4 3.19432E-4
0.0194 23.54 -3.2243E-4 3.19217E-4
0.0194 24.03 -3.22368E-4 3.19007E-4
0.0194 24.52 -3.22307E-4 3.188E-4
0.0194 25.01 -3.22248E-4 3.18599E-4
0.0194 25.5 -3.22192E-4 3.18413E-4
0.0194 25.99 -3.22137E-4 3.18234E-4
0.0194 26.48 -3.22082E-4 3.18056E-4
0.0194 26.97 -3.22029E-4 3.17882E-4
0.0194 27.46 -3.21977E-4 3.1771E-4
0.0194 27.95 -3.21925E-4 3.17542E-4
0.0194 28.44 -3.21875E-4 3.17377E-4
0.0194 28.93 -3.21825E-4 3.17214E-4
0.0194 29.42 -3.21776E-4 3.17055E-4
0.0194 29.91 -3.21728E-4 3.16898E-4
0.0194 30.4 -3.21681E-4 3.16743E-4
0.0194 30.89 -3.21635E-4 3.16591E-4
0.0194 31.38 -3.21589E-4 3.16441E-4
0.0194 31.87 -3.21544E-4 3.16294E-4
0.0194 32.36 -3.215E-4 3.16149E-4
0.0194 32.85 -3.21456E-4 3.16006E-4
0.0194 33.34 -3.21413E-4 3.15865E-4
0.0194 33.83 -3.2137E-4 3.15726E-4
0.0194 34.32 -3.21329E-4 3.1559E-4
0.0194 34.81 -3.21288E-4 3.15455E-4
0.0194 35.3 -3.21247E-4 3.15322E-4
0.0194 35.79 -3.21207E-4 3.15191E-4
